#{"t_start": 1774356949.3810318, "env_id": "None"}
r,l,t
-0.991053,7,402.547636
-0.988013,9,404.971885
-0.995569,5,406.331776
-0.998628,2,406.892952
-0.997754,3,407.695158
-0.995871,5,409.039986
-0.988507,9,411.44614
-0.994623,5,412.765092
-0.998246,3,413.568378
-1.0,1,413.850485
-0.990974,8,415.943358
-1.0,1,416.230832
-1.0,1,416.508793
-0.995907,5,417.847235
-1.0,1,418.149024
-0.998612,2,418.681426
-0.996847,3,419.514044
-1.0,1,419.789364
-0.998636,2,420.332618
-0.994608,5,421.671972
-0.994083,5,423.030397
-1.0,1,423.289062
-0.995421,7,425.16057
-1.0,1,425.436241
-0.995265,6,427.059476
-0.997649,3,427.864218
-1.0,1,428.145183
-0.997396,3,428.95201
-0.998998,2,429.498299
-0.997164,3,430.286463
-0.995762,4,431.376506
-1.0,1,431.635949
-0.994771,6,433.256189
-0.996371,4,434.693801
-0.997212,3,435.536842
-0.997276,3,436.341902
-1.0,1,436.626548
-0.994783,6,438.233274
-0.990755,8,440.409393
-0.997187,3,441.239014
-0.996333,4,442.322176
-1.0,1,442.619191
-0.996876,3,443.435429
-0.998933,2,443.975378
-0.991734,7,445.845941
-1.0,1,446.107568
-0.99856,2,446.660425
-0.998998,2,447.205852
-0.998055,4,448.298641
-0.996578,4,449.371274
-0.995971,4,450.429977
-0.994737,6,452.050399
-0.997063,4,453.123839
-0.999009,3,453.937643
-0.999011,3,454.769255
-1.0,1,455.035004
-0.998479,3,455.843032
-0.993253,6,457.455363
-0.995718,4,458.548899
-0.998445,2,459.105336
-0.995571,5,460.434491
-1.0,1,460.714523
-0.993222,7,462.569258
-0.990062,9,464.970544
-0.997193,3,465.76692
-0.997517,3,466.567511
-0.998422,2,467.105866
-0.991528,7,469.001972
-0.999035,3,469.80683
-0.998531,2,470.344325
-0.999039,2,470.889421
-0.997935,3,471.709424
-0.99631,4,472.775128
-0.999046,2,473.317093
-0.99691,4,474.390389
-0.995899,4,475.474651
-0.999047,2,475.996267
-0.99644,4,477.047811
-0.998715,2,477.585111
-0.997639,3,478.376755
-0.997232,3,479.214328
-0.99853,2,479.760173
-0.994836,7,481.635085
-0.998789,2,482.177903
-0.999016,4,483.260798
-0.994938,6,484.844977
-0.991868,7,486.764736
-0.995399,5,488.095647
-0.998703,3,488.89789
-0.997619,4,489.970103
-0.996512,4,491.079815
-0.989697,8,493.25696
-0.99902,4,494.306895
-1.0,1,494.583963
-0.998549,8,496.700154
-0.995453,5,498.059967
-0.997161,3,498.896357
-0.993872,8,501.041679
-1.0,1,501.32031
-0.998656,2,501.85556
-0.998502,2,502.404132
-0.998714,2,502.962086
-0.994477,7,504.800424
-1.0,1,505.075929
-0.993318,6,506.70485
-0.998011,3,507.476094
-0.99583,4,508.560085
-0.995126,5,509.907623
-0.998292,3,510.726803
-0.997489,4,511.82608
-0.992112,7,513.713209
-1.0,1,514.01453
-0.997392,3,514.810972
-0.998151,3,515.639904
-0.998502,2,516.178545
-0.994072,6,517.798642
-0.992731,8,519.94675
-0.991348,9,522.315527
-0.992395,8,524.47277
-0.996712,4,525.535253
-0.99851,3,526.343527
-0.991008,8,528.48346
-0.997154,3,529.263716
-0.990899,7,531.151223
-0.994512,5,532.491222
-1.0,1,532.771102
-1.0,1,533.05889
-0.998514,2,533.588802
-0.990768,8,535.715151
-0.997543,7,537.611663
-0.995825,4,538.711249
-0.99734,5,540.060289
-0.988618,9,542.500698
-1.0,1,542.78504
-0.997772,4,543.873999
-0.997447,3,544.662095
-0.999011,2,545.192394
-0.999021,3,546.011094
-0.993209,6,547.634549
-0.992527,7,549.501267
-0.997394,3,550.318391
-0.994322,6,551.910239
-0.995189,5,553.28724
-0.995467,4,554.377587
-1.0,1,554.641074
-0.997385,3,555.45299
-0.998478,2,555.993435
-0.993318,6,557.591429
-0.987315,10,560.258533
-0.998976,2,560.787175
-0.995995,5,562.142173
-0.995815,4,563.229542
-0.998431,2,563.763347
-0.998761,3,564.57742
-0.995439,4,565.652383
-0.991569,7,567.521021
-0.989352,8,569.626861
-0.995324,5,571.002428
-0.990837,8,573.170003
-1.0,1,573.455377
-0.998954,4,574.539277
-0.993784,8,576.7193
-0.993101,7,578.592734
-0.996739,5,579.92909
-0.997376,3,580.745708
-0.989322,10,583.400816
-0.998439,2,583.943382
-0.996919,4,585.008106
-0.992375,7,586.922181
-0.996009,8,589.109856
-1.0,1,589.385631
-0.986864,12,592.673752
-0.998999,2,593.228603
-0.998175,4,594.293682
-1.0,1,594.567477
-0.997596,3,595.430042
-0.997839,3,596.236108
-0.992322,8,598.380332
-0.997692,3,599.18639
-0.993957,6,600.827964
-0.998587,2,601.365698
-0.999024,2,601.918939
-0.995416,4,602.968316
-0.991075,7,604.880194
-0.998323,3,605.709141
-0.988668,10,608.411917
-0.9916,8,610.568263
-0.99587,4,611.660594
-0.998246,4,612.723839
-0.994248,7,614.551086
